Date,Open,High,Low,Close,Adj Close,Volume
2003-02-07,19.660000,19.660000,19.535000,19.540001,13.106216,2602400
2003-02-10,19.549999,19.549999,19.475000,19.475000,13.062620,50400
2003-02-11,19.475000,19.475000,19.475000,19.475000,13.062620,0
2003-02-12,19.475000,19.475000,19.475000,19.475000,13.062620,0
2003-02-13,19.180000,19.180000,19.180000,19.180000,12.864751,200
2003-02-14,19.180000,19.180000,19.180000,19.180000,12.864751,0
2003-02-18,19.299999,19.299999,19.299999,19.299999,12.945237,400
2003-02-19,19.209999,19.275000,19.209999,19.275000,12.928472,70000
2003-02-20,19.405001,19.405001,19.405001,19.405001,13.015666,20000
2003-02-21,19.665001,19.665001,19.665001,19.665001,13.190058,2600
2003-02-24,19.549999,19.549999,19.549999,19.549999,13.112923,200
2003-02-25,19.215000,19.245001,19.215000,19.245001,12.908348,2600
2003-02-26,19.245001,19.245001,19.245001,19.245001,12.908348,0
2003-02-27,19.245001,19.245001,19.245001,19.245001,12.908348,0
2003-02-28,19.245001,19.245001,19.245001,19.245001,12.908348,0
2003-03-03,19.245001,19.245001,19.245001,19.245001,12.908348,0
2003-03-04,19.245001,19.245001,19.245001,19.245001,12.908348,0
2003-03-05,19.245001,19.245001,19.245001,19.245001,12.908348,0
2003-03-06,19.245001,19.245001,19.245001,19.245001,12.908348,0
2003-03-07,18.645000,18.670000,18.629999,18.629999,12.495846,800
2003-03-10,18.545000,18.545000,18.545000,18.545000,12.438832,2800
2003-03-11,18.545000,18.545000,18.545000,18.545000,12.438832,0
2003-03-12,17.995001,17.995001,17.965000,17.965000,12.049801,1600
2003-03-13,18.334999,18.334999,18.334999,18.334999,12.297976,400
2003-03-14,18.334999,18.334999,18.334999,18.334999,12.297976,0
2003-03-17,18.660000,18.660000,18.660000,18.660000,12.515966,200
2003-03-18,18.844999,18.844999,18.844999,18.844999,12.640055,200
2003-03-19,18.844999,18.844999,18.844999,18.844999,12.640055,0
2003-03-20,18.920000,18.920000,18.889999,18.889999,12.670236,2000
2003-03-21,18.889999,18.889999,18.889999,18.889999,12.670236,0
2003-03-24,18.889999,18.889999,18.889999,18.889999,12.670236,0
2003-03-25,18.889999,18.889999,18.889999,18.889999,12.670236,0
2003-03-26,18.424999,18.424999,18.424999,18.424999,12.358343,200
2003-03-27,18.295000,18.295000,18.295000,18.295000,12.271149,200
2003-03-28,18.049999,18.049999,18.049999,18.049999,12.106813,600
2003-03-31,18.049999,18.049999,18.049999,18.049999,12.106813,0
2003-04-01,18.049999,18.049999,18.049999,18.049999,12.106813,0
2003-04-02,18.049999,18.049999,18.049999,18.049999,12.106813,0
2003-04-03,18.049999,18.049999,18.049999,18.049999,12.106813,0
2003-04-04,18.504999,18.540001,18.504999,18.540001,12.435480,21200
2003-04-07,19.000000,19.000000,18.825001,18.875000,12.660176,9600
2003-04-08,18.875000,18.875000,18.875000,18.875000,12.660176,0
2003-04-09,18.639999,18.639999,18.639999,18.639999,12.502551,200
2003-04-10,18.639999,18.639999,18.639999,18.639999,12.502551,0
2003-04-11,18.865000,18.865000,18.865000,18.865000,12.653469,19400
2003-04-14,19.075001,19.075001,19.075001,19.075001,12.794325,200
2003-04-15,19.000000,19.000000,19.000000,19.000000,12.744017,600
2003-04-16,19.045000,19.045000,19.045000,19.045000,12.774200,1000
2003-04-17,19.045000,19.045000,19.045000,19.045000,12.774200,0
2003-04-21,19.075001,19.075001,19.075001,19.075001,12.794325,200
2003-04-22,19.145000,19.245001,19.145000,19.245001,12.908348,1200
2003-04-23,19.245001,19.245001,19.245001,19.245001,12.908348,0
2003-04-24,19.245001,19.245001,19.245001,19.245001,12.908348,0
2003-04-25,19.155001,19.160000,19.155001,19.160000,12.851336,2200
2003-04-28,19.250000,19.250000,19.250000,19.250000,12.911702,400
2003-04-29,19.250000,19.250000,19.250000,19.250000,12.911702,0
2003-04-30,19.340000,19.370001,19.209999,19.370001,12.992191,3400
2003-05-01,19.400000,19.400000,19.400000,19.400000,13.012312,6200
2003-05-02,19.254999,19.360001,19.254999,19.360001,12.985485,2400
2003-05-05,19.155001,19.860001,19.155001,19.795000,13.277252,3400
2003-05-06,19.750000,19.750000,19.750000,19.750000,13.247070,8000
2003-05-07,19.780001,19.870001,19.780001,19.865000,13.324203,40200
2003-05-08,19.605000,19.605000,19.580000,19.580000,13.133046,600
2003-05-09,19.820000,19.820000,19.799999,19.799999,13.280605,400
2003-05-12,20.135000,20.135000,20.135000,20.135000,13.505304,400
2003-05-13,20.049999,20.195000,20.049999,20.195000,13.545551,400
